iter	Passed	Remaining
0	195	195154
1	197	98342
2	198	66051
3	200	49943
4	202	40264
5	204	33801
6	205	29179
7	207	25765
8	209	23065
9	211	20913
10	213	19181
11	215	17724
12	217	16481
13	218	15400
14	220	14469
15	222	13661
16	223	12945
17	225	12300
18	227	11722
19	228	11202
20	230	10731
21	232	10315
22	233	9939
23	236	9609
24	238	9302
25	240	9022
26	242	8751
27	244	8500
28	246	8266
29	248	8032
30	250	7822
31	252	7630
32	254	7446
33	255	7268
34	257	7094
35	258	6930
36	260	6774
37	261	6625
38	263	6488
39	265	6362
40	266	6243
41	268	6125
42	270	6013
43	271	5904
44	273	5806
45	275	5711
46	277	5620
47	279	5541
48	281	5460
49	283	5379
50	284	5299
51	286	5224
52	288	5150
53	290	5081
54	291	5013
55	293	4951
56	295	4890
57	297	4829
58	299	4769
59	300	4710
60	302	4655
61	303	4597
62	305	4543
63	307	4493
64	308	4443
65	310	4394
66	311	4344
67	312	4286
68	314	4240
69	315	4195
70	317	4152
71	319	4111
72	320	4070
73	322	4038
74	324	4003
75	326	3966
76	327	3930
77	329	3894
78	331	3861
79	332	3825
80	334	3792
81	335	3759
82	337	3728
83	339	3699
84	340	3664
85	341	3633
86	342	3597
87	344	3567
88	345	3537
89	347	3510
90	348	3482
91	350	3455
92	351	3432
93	353	3410
94	355	3387
95	357	3363
96	358	3338
97	360	3317
98	362	3295
99	363	3275
100	365	3256
101	367	3231
102	368	3213
103	370	3191
104	372	3171
105	373	3150
106	375	3129
107	377	3115
108	378	3097
109	380	3081
110	383	3070
111	385	3054
112	386	3036
113	388	3019
114	390	3003
115	391	2985
116	393	2967
117	395	2952
118	396	2937
119	398	2922
120	400	2907
121	401	2891
122	402	2872
123	404	2859
124	406	2844
125	408	2830
126	409	2818
127	411	2802
128	413	2791
129	415	2779
130	417	2767
131	418	2754
132	420	2740
133	422	2729
134	424	2716
135	425	2705
136	427	2694
137	429	2681
138	430	2669
139	432	2658
140	434	2646
141	436	2635
142	437	2623
143	439	2612
144	441	2600
145	442	2590
146	445	2582
147	447	2574
148	449	2564
149	450	2554
150	452	2545
151	455	2538
152	457	2531
153	459	2525
154	461	2516
155	463	2508
156	465	2500
157	467	2492
158	471	2495
159	473	2487
160	476	2481
161	478	2473
162	480	2465
163	482	2460
164	485	2456
165	487	2447
166	489	2439
167	490	2430
168	492	2422
169	494	2416
170	497	2410
171	499	2404
172	501	2396
173	503	2388
174	504	2379
175	506	2370
176	508	2363
177	510	2355
178	511	2347
179	513	2340
180	514	2329
181	516	2321
182	518	2314
183	520	2306
184	521	2298
185	523	2289
186	524	2281
187	526	2273
188	527	2265
189	529	2256
190	530	2247
191	531	2238
192	533	2230
193	535	2223
194	536	2215
195	538	2207
196	539	2199
197	541	2191
198	542	2183
199	543	2175
200	545	2167
201	546	2159
202	548	2151
203	549	2144
204	551	2136
205	552	2129
206	553	2122
207	555	2115
208	556	2107
209	558	2100
210	559	2093
211	561	2086
212	562	2080
213	564	2073
214	565	2066
215	567	2059
216	568	2052
217	570	2046
218	571	2039
219	573	2032
220	574	2026
221	576	2019
222	577	2012
223	578	2005
224	580	1998
225	581	1991
226	582	1985
227	584	1978
228	585	1972
229	587	1966
230	588	1959
231	590	1953
232	591	1947
233	592	1940
234	594	1934
235	595	1928
236	597	1922
237	598	1916
238	599	1910
239	601	1904
240	602	1898
241	604	1892
242	605	1887
243	607	1883
244	609	1878
245	610	1872
246	612	1866
247	613	1861
248	615	1855
249	616	1850
250	618	1844
251	619	1838
252	620	1832
253	622	1827
254	623	1821
255	624	1815
256	626	1810
257	627	1805
258	629	1799
259	630	1794
260	631	1788
261	633	1783
262	634	1777
263	635	1772
264	636	1766
265	638	1761
266	639	1755
267	641	1751
268	642	1746
269	643	1740
270	645	1736
271	646	1731
272	648	1726
273	649	1721
274	651	1716
275	652	1712
276	654	1707
277	656	1703
278	657	1699
279	658	1694
280	660	1689
281	662	1685
282	663	1680
