iter	Passed	Remaining
0	194	193827
1	195	97670
2	197	65608
3	199	49573
4	201	40027
5	203	33649
6	205	29108
7	207	25679
8	209	23111
9	211	20956
10	213	19223
11	216	17806
12	218	16599
13	220	15563
14	222	14624
15	224	13829
16	226	13097
17	228	12451
18	230	11890
19	232	11399
20	234	10928
21	236	10498
22	237	10105
23	239	9737
24	241	9408
25	242	9101
26	244	8815
27	246	8558
28	248	8303
29	249	8073
30	251	7856
31	252	7649
32	254	7459
33	256	7276
34	257	7111
35	259	6952
36	261	6798
37	262	6651
38	264	6513
39	265	6379
40	267	6247
41	268	6128
42	270	6020
43	272	5922
44	274	5821
45	275	5719
46	277	5626
47	279	5535
48	280	5450
49	282	5364
50	283	5283
51	286	5228
52	288	5152
53	289	5079
54	291	5011
55	293	4943
56	294	4875
57	296	4810
58	297	4749
59	299	4690
60	301	4636
61	303	4586
62	304	4531
63	306	4480
64	307	4429
65	309	4378
66	311	4330
67	312	4282
68	314	4238
69	316	4198
70	317	4154
71	319	4113
72	320	4073
73	322	4032
74	323	3995
75	325	3956
76	326	3919
77	328	3883
78	330	3848
79	331	3814
80	333	3780
81	334	3748
82	335	3709
83	337	3678
84	338	3646
85	340	3616
86	341	3586
87	343	3557
88	345	3532
89	346	3505
90	348	3479
91	349	3452
92	351	3425
93	352	3399
94	354	3373
95	355	3347
96	357	3323
97	358	3302
98	360	3283
99	362	3260
100	363	3238
101	365	3216
102	366	3194
103	368	3173
104	369	3152
105	371	3131
106	373	3113
107	374	3096
108	376	3076
109	377	3056
110	379	3038
111	380	3020
112	382	3002
113	383	2983
114	385	2965
115	386	2948
116	388	2930
117	390	2916
118	391	2901
119	393	2887
120	395	2872
121	396	2855
122	398	2839
123	399	2824
124	401	2810
125	403	2798
126	405	2786
127	407	2775
128	409	2761
129	410	2747
130	411	2732
131	413	2718
132	415	2706
133	417	2695
134	419	2687
135	420	2674
136	422	2662
137	424	2649
138	425	2637
139	427	2626
140	429	2614
141	430	2598
142	431	2588
143	433	2577
144	434	2564
145	436	2553
146	437	2541
147	439	2530
148	440	2518
149	442	2507
150	444	2496
151	445	2486
152	447	2476
153	448	2465
154	450	2456
155	452	2446
156	453	2436
157	455	2425
158	456	2416
159	458	2406
160	459	2393
161	461	2386
162	462	2377
163	464	2369
164	466	2361
165	468	2352
166	469	2343
167	471	2334
168	473	2327
169	474	2318
170	476	2311
171	479	2306
172	480	2298
173	482	2289
174	484	2282
175	485	2274
176	487	2265
177	488	2256
178	490	2251
179	492	2245
